species,family,leaf_phenology,p50,n_p50,rd_max,n_rd
Isoberlinia angolensis,Fabaceae,d,-2.0464,(1),3.7,(6)
Juglans cinerea,Juglandaceae,d,-1.89,(1),0.81,(1)
Juglans microcarpa,Juglandaceae,d,-1.99,(1),1.83,(2)
Juglans nigra,Juglandaceae,d,-2.04,(1),3.4,(7)
Juglans regia,Juglandaceae,d,-2.124705882352941,(17),4.7,(7)
Julbernardia paniculata,Fabaceae,e,-2.5402,(1),5.2,(6)
Juniperus ashei,Cupressaceae,e,-13.255,(2),8,(4)
Juniperus chinensis,Cupressaceae,e,-10.88,(1),0.7,(2)
Juniperus communis,Cupressaceae,e,-6.079090909090909,(11),3.15,(9)
Juniperus monosperma,Cupressaceae,e,-8.668,(5),61,(6)
Juniperus scopulorum,Cupressaceae,e,-8.158183333333334,(9),0.99,(1)
Juniperus virginiana,Cupressaceae,e,-6.455,(4),7.92,(6)
Larix decidua,Pinaceae,d,-3.74,(6),3.66,(10)
Larix gmelinii,Pinaceae,d,-3.13,(1),0.65,(1)
Larix kaempferi,Pinaceae,d,-3.39,(2),2.3,(4)
Larix occidentalis,Pinaceae,d,-4.21,(3),0.3,(1)
Larix sibirica,Pinaceae,d,-3.63,(6),2.25,(5)
Leucadendron salignum,Proteaceae,e,-3.98486,(2),3.5,(1)
Ligustrum vulgare,Oleaceae,d,-4.8975,(4),1.52,(2)
Liquidambar styraciflua,Altingiaceae,d,-3.0633333333333335,(3),2.44,(1)
Lycium chilense,Solanaceae,d,-4.9,(1),1.5,(2)
Malus domestica,Rosaceae,d,-2.578888888888889,(9),3.4,(4)
Malus sylvestris,Rosaceae,d,-6.01,(1),3.12,(4)
Marquesia macroura,Dipterocarpaceae,e,-1.3624,(1),3.8,(3)
Melia azedarach,Meliaceae,d,-3.31,(3),3.96,(2)
Metasequoia glyptostroboides,Cupressaceae,d,-2.62,(4),2.4,(1)
Morus alba,Moraceae,d,-1.58,(3),3.96,(4)
Mulinum spinosum,Apiaceae,e,-5.7,(1),3,(5)
Myrtus communis,Myrtaceae,e,-5.665,(2),1.1,(1)
Pericopsis angolensis,Fabaceae,d,-3.2849,(1),3.65,(5)
Picea abies,Pinaceae,e,-3.8,(26),2.3,(23)
Picea glauca,Pinaceae,e,-3.9333564705882353,(17),1.88,(30)
Picea mariana,Pinaceae,e,-3.903984285714286,(7),1.22,(28)
Picea sitchensis,Pinaceae,e,-3.85,(2),0.63,(5)
Pinus banksiana,Pinaceae,e,-3.323575,(2),2.9,(14)
Pinus caribaea,Pinaceae,e,-3.27,(1),5,(2)
Pinus cembra,Pinaceae,e,-3.54375,(8),0.98,(9)
Pinus contorta,Pinaceae,e,-3.789019090909091,(11),3.51,(14)
Pinus densiflora,Pinaceae,e,-3.5,(1),3.5,(4)
Pinus echinata,Pinaceae,e,-3.21,(1),2.74,(5)
Pinus edulis,Pinaceae,e,-3.71,(4),33.53,(9)
Pinus mugo,Pinaceae,e,-3.8,(6),1.92,(3)
Pinus nigra,Pinaceae,e,-3.658878151571429,(21),10.04,(5)
Pinus pinaster,Pinaceae,e,-3.741578947368421,(19),3,(11)
Pinus ponderosa,Pinaceae,e,-3.3771428571428572,(7),24.38281012,(8)
Pinus radiata,Pinaceae,e,-4.37,(1),5,(11)
Pinus sylvestris,Pinaceae,e,-3.237247743365385,(52),9.76,(25)
Pinus tabuliformis,Pinaceae,e,-2.78,(2),1,(1)
Pinus taeda,Pinaceae,e,-3.325,(4),4,(10)
Pinus wallichiana,Pinaceae,e,-2.83,(1),1.3,(1)
Piptadenia obliqua,Fabaceae,d,-9.29771,(1),0.67,(1)
Pistacia lentiscus,Anacardiaceae,e,-5.0275,(4),3.5,(2)
Platycladus orientalis,Cupressaceae,e,-9.04,(1),1.4,(2)
