Species,Dr,EU_soil_texture
Nama hispidum,0.74,M
Nerisyrenia linearifolia,0.47,C
Perezia nana,2.8,M
Pleuraphis mutica,0.4,M
Pleuraphis mutica,1.06,M
Prosopis glandulosa,0.85,M
Prosopis glandulosa,2.72,M
Prosopis glandulosa,3.2,C
Prosopis glandulosa,2.9,M
Prosopis glandulosa,5.5,C
Psilostrophe tagetina,1.76,C
Scleropogon brevifolius,0.96,M
Scleropogon brevifolius,1,M
Scleropogon brevifolius,1.11,M
Senna bauhinioides,0.85,M
Solanum elaeagnifolium,0.54,M
Solanum elaeagnifolium,0.65,M
Solanum elaeagnifolium,2.3,M
Sphaeralcea hastulata,1,M
Sphaeralcea hastulata,1.57,M
Sphaeralcea hastulata,3.3,M
Sporobolus contractus,1.3,C
Sporobolus flexuosus,0.97,M
Sporobulus nealleyi,0.19,C
Talinum angustissimum,0.55,M
Yucca elata,0.95,M
Zinnia acerosa,0.49,M
Zinnia acerosa,1.1,F
Zinnia grandiflora,1.5,M
Sphaeralcea hastulata,1.1,M
Populus tremuloides,2.9,C
Flourensia cernua,3,M
Koeberlinia spinosa,3.3,M
Koeberlinia spinosa,5.2,M
Scleropogon brevifolius,1,M
Flourensia cernua,1,F
Flourensia cernua,3.4,M
Larrea tridentata,2,F
Larrea tridentata,5,M
Flourensia cernua,,C
Larrea tridentata,1.5,C
Larrea tridentata,2.38,M
Colliguaja odorifera,1,C
Cryptocarya alba,1,C
Lithraea caustica,5,C
Quillaja saponaria,8,C
Retanilla ephedra,1,C
Satureja gilliesii,0.8,C
Anabasis articulata,3,C
Anabasis setifera,1.5,C
Artemisia herba-alba,0.4,F
Salsola baryosma,0.8,C
Salsola vermiculata,1,C
Zilla spinosa,5,C
Achillea fragrantissima,1.5,F
Anabasis syriaca,3,F
Calligonum comosum,5,C
Haloxylon salicornicum,2.5,C
Ochradenus baccatus,5,C
Peganum harmala,4.5,F
Prosopis farcta,15,Wl
Adenium somalense var. crispum,1.4,C
Sansevieria ehrenbergii Schweinf. ex Baker,0.9,C
Aristida kelleri,0.9,C
Stipagrostis uniplumis,0.7,C
Aerva javanica,1.4,C
Anticharis linearis,0.5,C
Citrullus lanatus,0.9,C
Eragrostis mahrana,0.6,C
Panicum turgidum,1.16,C
Sporobolus marginatus,0.5,C
Indigofera spinosa,0.55,C
Indigofera ruspolii,1.6,C
Blepharispermum fruticosum,1.7,C
Entada wahlbergii,0.6,C
Erythrina melanacantha,1.4,C
Acacia reficiens ssp. misera,,M
Acacia edgeworthii,6,C
Iphiona rotundifolia,4.6,C
Salsola foetida,5.2,C
Secamone punctulata,4.4,C
Commiphora ancistrophora,0.57,C
Commiphora erythraea,0.75,C
Platycelyphium voense,0.59,C
Acacia tortilis ssp. spirocarpa,,M
Acacia bussei,0.3,C
Achyropsis greenwayi,0.92,F
Adesmia lotoides,0.4,C
Adesmia villosa,0.5,C
Arjona tuberosa,0.25,C
Calceolaria polyrrhiza,0.45,C
Camissonia dentata,0.3,C
Cerastium arvense,0.3,C
Doniophyton anomalum,0.3,C
Euphorbia collina,0.6,C
Gilia laciniata,0.3,C
Huanaca acaulis,0.3,C
Hypochaeris montana,0.4,C
Leucheria millefolium,0.45,C
Loasa argentina,0.45,C
Microsteris gracilis,0.3,C
Montiopsis gayana,0.3,C
Oxalis squamoso-radicosa,0.25,C
Perezia recurvata,0.35,C
Polemonium micranthum,0.3,C
Polygala darwiniana,0.45,C
Silene magellanica,0.45,C
Sisyrinchium junceum,0.25,C
Sisyrinchium macrocarpum,0.4,C
Tweedia australis,0.6,C
Valeriana clarionifolia,0.5,C
Juniperus semiglobosa,1.2,M
Juniperus turkestanica,0.6,M
Aspidosperma quebracho-blanco,16,
Atriplex torreyi,3.6,F
Ericameria nauseosa,3.6,F
Sarcobatus vermiculatus,3.6,F
Andropogon gayanus,1.8,C
Andropogon gayanus,1.2,C
Ficus sp.,120,
Copiapoa cinerea var. columna-alba,0.08,C
Acer rubrum,3,C
Quercus alba,4,C
Adenostoma fasciculatum,2.44,C
Adenostoma fasciculatum,2.44,C
Adenostoma sparsifolium,1.83,C
Adenostoma sparsifolium,2.44,C
Bromus tectorum,1.17,M
Pseudoroegneria spicata,1.36,M
Pseudoroegneria spicata,1.4,M
Tripsacum laxum,3.05,F
Fraxinus pennsylvanica,1.09,C
Populus deltoides ssp. monilifera,2.21,C
Quercus macrocarpa,2.63,F
Ulmus americana,1.55,C
Ulmus americana,1.83,F
Ulmus americana,2.72,C
Ulmus americana,6.12,C
Fraxinus pennsylvanica,0.74,M
Fraxinus pennsylvanica,1.48,M
Adenostoma fasciculatum,7.62,C
Arctostaphylos glandulosa,5.18,C
Arctostaphylos glauca,2.59,C
Ceanothus crassifolius,1.37,F
Ceanothus gregii var. vestitus,1.37,C
Ceanothus leucodermis,3.66,C
Ceanothus oliganthus,1.83,F
Cercocarpus betuloides,1.52,C
Eriodictyon crasssifolium var. nigrescens,1.37,C
Eriogonum fasciculatum var. foliolosum,1.22,C
Heteromeles arbutifolia,1.98,F
Lotus scoparius,1.13,M
Mimulus aurantiacus,1.52,C
Quercus chrysolepis,7.32,C
Quercus dumosa,8.53,C
Salvia apiana,1.52,C
Salvia mellifera,0.61,F
Yucca whipplei,0.76,C
Pinus palustris,4.32,C
Aristea major,0.5,C
Aristea major,0.5,C
Aristea major,0.95,C
Aristea major,1,C
Aristea major,1.2,C
Aristea major,1.5,C
Cliffortia ruscifolia,1.46,C
Cliffortia ruscifolia,1.5,C
Erica plukenettii,0.32,C
Erica plukenettii,0.5,C
Ischyrolepis gaudichaudiana,0.1,C
Ischyrolepis gaudichaudiana,0.1,C
Ischyrolepis gaudichaudiana,0.4,C
Leucadendron salignum,3.5,C
Otholobium fruticans,1.5,C
Protea neriifolia,3,C
Protea neriifolia,3.26,C
Protea repens,3,C
Protea repens,3,C
Tetraria bromoides,0.5,C
Tetraria bromoides,1,C
Tetraria bromoides,1,C
Tetraria bromoides,1,C
Watsonia pyramidata,0.39,C
Watsonia pyramidata,0.4,C
Eremaea beaufortioides,6,C
Amorpha canescens,4.11,M
Andropogon gerardi,3,M
Aster multiflorus,2.13,M
Bouteloua curtipendula,2.45,M
Bouteloua gracilis,1.98,M
Brickellia eupatorioides,6.4,M
Carex duriuscula,0.76,M
Carex pensylvanica,0.76,M
Gaura coccinea,3.05,M
Koeleria pyramidata,0.76,M
Lygodesmia juncea,6.4,M
Machaeranthera pinnatifida,1.46,M
Pascopyrum smithii,3.66,M
Psoralidium tenuiflorum,4.11,M
Ratibida columnifera,1.68,M
Solidago missouriensis var. fasciculata,3.35,M
Sphaeralcea coccinea,3.97,M
Sporobolus cryptandrus,2.74,M
Pinus contorta,3.3,M
Acacia mearnsii,5.79,M
Pennisetum clandestinum,4.88,M
Butea frondosa,3.05,F
Butea frondosa,5.18,C
Dalbergia sissoo,4.52,C
Ficus benghalensis,4.88,C
Ficus religiosa,5.79,C
Melia azedarach,3.96,C
Millingtonia hortensis,3.51,C
Millingtonia hortensis,5.18,C
Phyllanthus emblica,5.79,C
Tectonia grandis,3.05,C
Tectonia grandis,3.96,C
Bromus tectorum,1.6,M
Avena fatua,0.3,F
Nassella pulchra,1,F
Isocoma tenuisecta,5.5,C
Larix dahurica,0.65,Wl
Eucalyptus regnans,2.7,
Celtis laevigata,6,C
Juniperus ashei,8,C
Quercus fusiformis,22,C
Quercus sinuata,7,C
Ulmus americana,7,C
Ulmus crassifolia,9,C
Jacquinia pungens,3,F
Brachystegia spiciformis,4.5,C
Pterocarpus angolensis,2,C
Milicia excelsea,3,F
Acacia erioloba,60,C
Boscia albitrunca,68,C
Phalaris aquatica,1.2,C
Eucalyptus viminalis,17.7,C
Quercus alba,3.4,M
Prunus yedoensis,2.1,F
Quercus dentata,4.3,M
Fraxinus japonica,2,F
Juglans nigra,3,M
Platanus orientalis,2.6,M
Populus nigra,1.9,M
Quercus velutina,3,M
Salix babylonica,2.2,M
Picea abies,0.17,M
Anabasis aretoides,1.25,F
Lygos raetam,1,C
Peganum harmala,0.9,C
Zilla spinosa ssp. macroptera,1.38,C
Zilla spinosa ssp. macroptera,2.3,C
Zygophyllum album,0.85,C
Artemisia austriaca,0.43,
Bromopsis erecta,0.66,
Elytrigia intermedia,0.91,
Festuca rupicola,0.78,
Poa pratensis,0.44,
Potentilla humifusa,0.57,
Stipa capillata,1.01,
Robinia pseudoacacia,3.21,C
Apodytes dimidiata,8.23,C
Eucalyptus marginata,15,F
Achnatherum hymenoides,1.12,C
Achnatherum hymenoides,1.2,C
Achnatherum hymenoides,1.25,C
Ambrosia acanthicarpa,1.33,C
Ambrosia acanthicarpa,1.65,C
Ambrosia acanthicarpa,1.65,C
Ambrosia acanthicarpa,1.67,C
Ambrosia acanthicarpa,1.8,C
Artemisia tridentata,1.14,C
Artemisia tridentata,1.7,C
Artemisia tridentata,1.72,C
Artemisia tridentata,1.87,C
Artemisia tridentata,1.96,C
Artemisia tridentata,2,C
Artemisia tridentata,2.15,C
Artemisia tridentata,2.19,C
Artemisia tridentata,2.35,C
Artemisia tridentata,2.45,C
Artemisia tridentata,2.5,C
Balsamorhiza careyana,1.5,C
Chrysothamnus nauseosus,1.47,C
Chrysothamnus nauseosus,1.5,C
Chrysothamnus nauseosus,1.6,C
Chrysothamnus nauseosus,1.7,C
Chrysothamnus nauseosus,1.75,C
Chrysothamnus nauseosus,1.85,C
Chrysothamnus nauseosus,2,C
Chrysothamnus nauseosus,2.1,C
Chrysothamnus nauseosus,2.5,C
Chrysothamnus viscidiflorus,1.45,C
Chrysothamnus viscidiflorus,1.6,C
Eriogonum niveum,1.5,C
Grayia spinosa,1.95,C
Hesperostipa comata,1.22,C
Hesperostipa comata,1.34,C
Hesperostipa comata,1.38,C
Hesperostipa comata,1.6,C
Lactuca serriola,0.84,C
Machaeranthera canescens,1.36,C
Machaeranthera canescens,1.38,C
Machaeranthera canescens,1.44,C
Machaeranthera canescens,1.55,C
Pteryxia terebinthina,1.24,C
Pteryxia terebinthina,1.41,C
Pteryxia terebinthina,1.55,C
Pteryxia terebinthina,1.6,C
Purshia tridentata,2.83,C
Purshia tridentata,3,C
Purshia tridentata,3,C
Purshia tridentata,3,C
Salsola tragus,1.18,C
Salsola tragus,1.45,C
Salsola tragus,1.5,C
Salsola tragus,1.72,C
Salsola tragus,1.83,C
Salsola tragus,1.9,C
Salsola tragus,2.05,C
Salsola tragus,2.09,C
Suaeda physophora,0.6,Wl
Acer pseudoplatanus,1.4,C
Alnus glutinosa,3.8,
Betula verrucosa,4,C
Carpinus betulus,1.4,F
Populus tremula,1.5,F
Quercus robur,9,
Quercus rubra,3.6,C
Robinia pseudoacacia,2.8,C
Ulmus montana,1.6,M
Alnus glutinosa,2.25,M
Alnus incana,1.2,M
Betula verrucosa,1.35,M
Carpinus betulus,1.9,M
Fagus sylvatica,1.05,M
Quercus petraea,1.9,M
Quercus robur,1.95,M
Quercus rubra,1.85,M
Alnus glutinosa,1.9,M
Alnus incana,1.05,M
Betula pubescens,1.15,M
Populus tremula,1.65,M
Abies alba,1.85,M
Picea abies,0.6,M
Quercus agrifolia,7.3,
Juncus inflexus,0.92,C
Elytrigia intermedia,0.99,C
Cynodon dactylon,1.2,M
Koeleria splendens,0.53,C
Molinia caerulea spp. litoralis,1.41,C
Carex flacca,0.83,M
Carex flacca,0.83,M
Juncus compressus,1.27,F
Sesleria albicans,0.38,C
Muscari neglectum,0.09,C
Carex praecox,0.51,C
Carex praecox,0.51,C
Stipa joannis,0.52,C
Carex liparocarpos,0.26,C
Cynodon dactylon,0.6,C
Cynodon dactylon,0.6,C
Koeleria macrantha,0.55,C
Poa bulbosa,0.25,C
Galanthus nivalis,0.18,C
Corynephorus canescens,0.32,C
Aira praecox,0.2,C
Dactylis glomerata,0.9,C
Festuca arundinacea,2.73,M
Festuca pratensis,1.73,M
Holcus lanatus,0.89,M
Carex arenaria,1.82,C
Carex trinervis,1.42,C
Carex trinervis,1.42,C
Carex trinervis,1.42,C
Carex trinervis,1.42,C
Festuca rubra ssp. arenaria,0.72,C
Festuca rubra ssp. arenaria,0.72,C
Festuca rubra ssp. arenaria,0.72,C
Festuca tenuifolia,0.32,C
Festuca pallens ssp. scabrifolia,0.35,C
Festuca valesiaca,0.61,C
Crypsis aculeata,0.25,C
Carex davalliana,0.4,M
Carex umbrosa,0.3,M
Juncus effusus,0.75,C
Juncus effusus,0.81,C
Juncus filiformis,0.71,C
Scirpus sylvaticus,1.7,M
Trisetum flavescens,0.51,C
Bothriochloa ischaemum,0.81,C
Helictotrichon pubescens,0.47,C
Koeleria pyramidata,0.45,C
Crocus vernus,0.11,C
Agrostis capillaris,0.57,C
Anthoxanthum odoratum,0.219256757,C
Arrhenatherum elatius,1.37,C
Briza media,0.52,C
Bromus hordeaceus,0.6,C
Carex caryophyllea,0.2,C
Festuca rubra ssp. rubra,0.55,M
Festuca rubra ssp. rubra,0.55,M
Festuca rupicola,0.46,C
Lolium perenne,0.484830509,C
Lolium perenne,0.484830509,C
Lolium perenne,0.719864407,C
Molinia caerulea spp. caerulea,0.52,C
Poa trivialis,0.32,C
Alopecurus pratensis,0.82,C
Luzula campestris,0.21,C
Cynodon dactylon,1.21,C
Cynodon dactylon,1.21,C
Cynodon dactylon,1.21,C
Phalaris arundinacea,1.39,C
Allium vineale,0.7,C
Phleum arenarium,0.32,C
Erythronium dens-canis,0.16,C
Anthericum liliago,1.12,C
Juncus articulatus,0.13,C
Juncus articulatus,0.24,C
Bromopsis erecta,0.89,C
Phleum pratense,0.64,C
Poa compressa,0.48,C
Glyceria maxima,0.95,M
Bromus inermis,0.97,C
Bromus racemosus,0.54,F
Orchis morio,0.09,C
Chrysopogon gryllus,1.92,M
Puccinellia distans,0.53,C
Allium senescens ssp. montanum,0.25,C
Colchicum autumnale,0.17,M
Colchicum autumnale,0.17,M
Colchicum autumnale,0.17,M
Alopecurus bulbosus,0.51,F
Cynosurus cristatus,0.22,C
Ammophila arenaria,1.62,C
Ammophila arenaria,1.62,C
Juncus conglomeratus,0.3,C
Narthecium ossifragum,0.22,
Narthecium ossifragum,0.22,
Alopecurus myosuroides,0.36,F
Hordeum bulbosum,1.24,M
Orchis papilionacea,0.19,M
Leucojum vernum,0.42,M
Carex humilis,0.72,C
Melica ciliata,0.42,C
Phleum phleoides,0.3,C
Poa badensis,0.15,C
Stipa capillata,0.82,C
Allium flavum,0.15,C
Allium sphaerocephalon,0.15,C
Anthericum ramosum,0.55,C
Deschampsia cespitosa,1.23,C
Koeleria vallesiana,0.54,C
Narcissus poeticus ssp. radiiflorus,0.29,F
Iris sibirica,0.8,F
Brachypodium rupestre,0.46,C
Carex panicea,0.49,M
Carex panicea,0.49,M
Iris graminea,0.79,C
Iris graminea,0.79,C
Ornithogalum pyrenaicum,0.18,C
Arrhenatherum elatius ssp. bulbosum,0.65,F
Helictotrichon pratense,0.79,F
Carex vulpina,0.6,M
Eleocharis mamillata ssp. austriaca,0.63,M
Centaurea scabiosa,2.62,M
Gypsophila perfoliata,0.93,C
Taraxacum serotinum,4.56,M
Scleranthus perennis,0.14,C
Pulsatilla pratensis,0.79,C
Ranunculus flammula,0.2,C
Ranunculus auricomus,0.25,M
Thalictrum lucidum,0.39,C
Ranunculus acris,0.44,C
Carlina acaulis,4.1,C
Cerastium holosteoides,0.16,C
Dianthus deltoides,0.29,C
Medicago falcata,4.25,C
Petrorhagia saxifraga,1.06,C
Pimpinella saxifraga,3.71,C
Ranunculus ficaria,0.16,C
Urtica dioica,0.8,C
Eryngium campestre,4.59,C
Biscutella sempervirens,2.14,C
Pulsatilla pratensis,0.42,C
Gypsophila fastigiata,1.47,C
Equisetum ramosissimum,2.52,C
Ononis natrix,2.25,C
Adonis vernalis,0.71,C
Heracleum sphondyleum,1.97,C
Equisetum palustre,2.5,M
Peucedanum cervaria,4.15,M
Ranunculus bulbosus,0.3,C
Stellaria graminea,0.34,C
Kochia prostrata,6.34,M
Eremurus robustus,0.18,F
Ferula akitschkensis,3.58,M
Inula macrophylla,3.49,M
Libanotis schrenkiana,2.68,M
Ligularia macrophylla,1.39,F
Juniperus communis,3.15,C
Arthrophytum iliense,1.96,C
Climacoptera lanata,0.77,C
Haloxylon aphyllum,1.72,C
Horaninovia ulicina,0.82,C
Nanophyton erinaceum,1.27,C
Ammopiptanthus mongolicus,2.32,C
Amygdalus mongolica,2.69,C
Brachanthemum gobicum,1.22,C
Kalidium gracile,1.1999,C
Convolvulus tragacanthoides,3.22,C
Haloxylon ammodendron,2.14,C
Nitraria sibirica,3.417,C
Olgaea leucophylla,0.77,C
Olgaea leucophylla,0.759,C
Salsola laricifolia,0.5897,C
Salsola passerina,1.04,C
Sympegma regelii,3.58,C
Zygophyllum xanthoxylon,5.7608,C
Artemisia santonica,0.66,M
Camphorosma annua,0.53,F
Limonium tataricum,1.29,F
Carpinus betulus,3.84,M
Achnatherum splendens,1.41,C
Allium polyrhizum,0.16,C
Euphorbia mongolica,1.67,C
Iris bungei,1.16,C
Rheum nanum,0.6415,C
Rheum nanum,0.7304,C
Rheum nanum,0.3059,C
Rheum nanum,0.6564,C
Quercus robur,2.94,C
Brassica napus,1.61,M
Achillea millefolium,0.8935,M
Anchusa officinalis,1.18,M
Cardamine hirsuta,0.37,C
Cardaria draba,1.18,C
Equisetum arvense,1.7,C
Erophila verna,0.06,C
Geranium molle,0.53,C
Lotus corniculatus,0.65,C
Rorippa sylvestris,0.79,C
Symphytum officinale,1.8,
Taraxacum officinale,1.42,C
Trifolium hybridum,0.3,C
Trifolium repens,0.7,C
Valerianella carinata,0.1,C
Panicum capillare,0.62,C
Panicum ischaemum,0.43,C
Panicum sanguinale,0.37,C
Panicum crus-galli,1.16,C
Setaria pumila,0.37,C
Polygonum aviculare,0.72,C
Chenopodium album,1.06,C
Amaranthus retroflexus,1.22,C
Rumex crispus,3.25,C
Ornithogalum umbellatum,0.0869,M
Holosteum umbellatum,0.24,C
Aloe litoralis,0.906,C
Enneapogon scoparius,0.65,M
Kleinia longiflora,0.15,M
Rhigozum trichotomum,2.15,M
Schmidtia kalahariensis,1.01,C
Stipagrostis amabilis,2.06,C
Stipagrostis uniplumis,2.36,C
Acanthosicyos horrida,4.72,C
Arthraerua leubnitziae,2.44,C
Lithops ruschiorum,0.07,C
Mesembryanthemum guerichianum,0.52,C
Odyssea paucinervis,1.69,C
Tetragonia reduplicata,1.6,C
Trianthema hereroensis,1.48,C
Tribulus zeyheri var. pechuelii,0.6,C
Welwitschia mirabilis,1.6,C
Zygophyllum clavatum,1.99,C
Zygophyllum stapffii,2.07,C
Acanthosicyos horrida,2.05,C
Arthraerua leubnitziae,1.67,C
Trianthema hereroensis,0.7,C
Commiphora saxicola,0.4,C
Commiphora tenuipetiolata,0.98,C
Euphorbia damarana,0.44,C
Euphorbia virosa,0.3,C
Stipagrostis obtusa,0.29,C
Colophospermum mopane,0.8,C
Pinus sylvestris,3.2,C
Betula verrucosa,1.1,C
Betula verrucosa,1.1,C
Betula odorata,2.7,
Eucalyptus gomphocephala,15,C
Faidherbia albida,40,
Atriplex canescens,2.01,M
Ericameria nauseosa,0.96,M
Gutierrezia sarothrae,2,C
Acacia erioloba,45,C
Quercus douglasii,24.38,C
Quercus kelloggii,12.83,C
Quercus lobata,7.41,C
Quercus wislizenii,20.72,C
Carlina acaulis,4.08,
Bromus tectorum,0.5,C
Poa secunda,0.35,C
Artemisia tridentata,3,C
Bromus tectorum,0.6,M
Bromus tectorum,0.8,M
Grayia spinosa,2,M
Sisymbrium altissimum,0.97,C
Stipagrostis sabulicola,0.7,C
Prosopis glandulosa,,
Quercus rubra,1,C
Ericameria cooperi,1.3,C
Artemisia spinescens,1.28,C
Artemisia tridentata ssp. tridentata,2.01,C
Coleogyne ramosissima,1.11,C
Ephedra nevadensis,0.67,C
Ericameria cooperi,1.47,C
Ericameria teretifolia,2,C
Grayia spinosa,0.96,C
Hymenoclea salsola,1.02,C
Tetradymia axillaris,2.1,C
Artemisia tridentata ssp. tridentata,0.91,F
Atriplex canescens,1.36,C
Cucurbita foetidissima,0.51,
Ephedra trifurca,3.35,F
Ericameria nauseosa,2.54,
Eriogonum effusum,2.03,C
Gilia rigidula ssp. acerosa,0.99,C
Gutierrezia sarothrae,1.12,
Linum rigidum,0.13,C
Opuntia imbricata,0.76,
Solanum elaeagnifolium,1.65,M
Erodium botrys,1.3,F
Sarcobatus vermiculatus,17.3,C
Milicia excelsea,2,
Schaefferia cuneifolia,1.2,C
Zanthoxylum fagara,1.2,C
Ziziphus obtusifolia,1.6,C
Artemisia monosperma,0.92,C
Citrullus colocynthis,0.77,C
Haloxylon salicornicum,0.72,C
Hyoscyamus muticus,0.83,C
Hyoscyamus muticus,0.86,C
Lygos raetam,1.01,C
Matthiola longipetiolata ssp. livida,0.1,C
Opophytum forskahlii,0.1,C
Pancratium sickenbergeri,0.23,C
Plantago ovata,0.13,C
Schismus barbatus,0.16,C
Trigonella stellata,0.16,C
Zygophyllum simplex,0.09,C
Adenostoma fasciculatum,0.3,C
Adenostoma fasciculatum,1,C
Adenostoma fasciculatum,1,C
Arctostaphylos glauca,0.3,C
Ceanothus greggii,0.3,C
Ceanothus greggii,0.3,C
Heteromeles arbutifolia,0.3,C
Colliguaya odorifera,0.3,C
Colliguaya odorifera,0.6,C
Satureja gilliesii,0.4,C
Satureja gilliesii,0.6,C
Satureja gilliesii,0.7,C
Satureja gilliesii,0.85,C
Quercus douglasii,1.5,
Astragalus paucijugus,1.7,C
Haloxylon ammodendron,6,C
Haloxylon persicum,2.18,C
Salsola richteri,1.42,C
Prosopis tamarugo,3.5,
Borassus aethiopum,1.2,C
Panicum maximum,3.5,F
Panicum maximum,3,F
Atriplex lampa,0.9,C
Larrea cuneifolia,,C
Larrea divaricata,,C
Larrea nitida,,C
Suaeda divaricata,0.7,C
Suaeda divaricata,1.8,C
Zuccagnia punctata,,C
Larrea divaricata,4,C
Bulnesia schikendantzii,4,C
Plectrocarpa rougesii,2,C
Agave lecheguilla,0.61,M
Parthenium argentatum,0.76,M
Parthenium incanum,0.42,M
Bouteloua breviseta,0.5,M
Ephedra strobilacea,2.8,C
Halothamnus subaphyllus,3.1,C
Haloxylon aphyllum,8.5,C
Haloxylon persicum,9.8,C
Salsola richteri,2.5,C
Arnebia transcaspica,0.53,C
Artemisia badhysi,2.2,C
Artemisia badhysi,2.4,C
Astragalus unifoliolatus,1.99,C
Astragalus unifoliolatus,2.1,C
Astragalus unifoliolatus,2.5,C
Bromus tectorum,0.6,C
Calligonum setosum,1.73,C
Calligonum setosum,3.5,C
Carex pachystylis,1,C
Centaurea belangeriana,0.85,C
Descurainia sophia,1.1,C
Ephedra strobilacea,3.7,C
Ferula badrakema,0.7,C
Halothamnus subaphyllus,1.5,C
Halothamnus subaphyllus,6.8,C
Haloxylon persicum,3,C
Heliotropium arguzioides,0.48,C
Hordeum leporinum,0.44,C
Poa bulbosa var. vivipara,0.75,C
Salsola paletzkiana,2.19,C
Salsola paletzkiana,8.9,C
Salsola richteri,4.3,C
Alhagi persarum,20,
Ammodendron conollyi,6.2,C
Artemisia diffusa,1,C
Artemisia halophila,3,
Artemisia kemrudica,1.2,
Artemisia sogdiana,2,
Artemisia terrae-albae,0.9,F
Artemisia turanica,1,C
Astragalus agameticus,2.7,
Astragalus chiwensis,0.8,C
Astragalus flexus,1.2,
Astragalus longipetiolatus,1.2,C
Astragalus maximowiczii,1.5,C
Astragalus paucijugus,1.5,
Calligonum caput-medusae,2,C
Calligonum eriopodum,2.5,C
Calligonum rubens,2,C
Camphorosma lessingii,1.6,F
Dorema aitchisonii,0.9,
Dorema sabulosum,0.7,C
Ferula badrakema,0.9,F
Ferula foetida,0.9,C
Ferula oopoda,0.8,C
Halothamnus subaphyllus,7,C
Haloxylon aphyllum,14,
Kochia prostrata,3,
Mausolea eriocarpa,1.4,C
Poa bulbosa,0.7,
Salsola gemmascens,0.7,
Salsola orientalis,0.6,F
Salsola orientalis,2.2,C
Salsola richteri,4,C
Smirnowia turkestana,2,C
Stipagrostis karelinii,2.2,C
Stipagrostis pennata,1.8,C
Rhodiola coccinea,0.3,M
Carex melantha,0.55,M
Dracocephalum imberbe,0.38,M
Papaver croceum,0.35,M
Leontopodium ochroleucum,0.23,M
Kobresia capillifolia,0.16,M
Juniperus turkestanica,1.6,M
Phlomis oreophila,0.55,M
Alchemilla obtusa,0.37,M
Poa alpina,0.38,M
Polygonum nitens,0.06,M
Picea schrenkiana,1.5,M
Rosa spinosissima,2,M
Hypericum scabrum,0.74,M
Thalictrum collinum,0.42,M
Cotoneaster megalocarpa,3.5,M
Cystopteris filix-fragilis,0.19,M
Malus sieversii,7.2,M
Acer semenovii,5.1,M
Prunus armeniaca,3.6,M
Spiraea hypericifolia,2,M
Artemisia santolinifolia,1.4,M
Ajania fastigiata,1.2,M
Poa pratensis,0.42,M
Carex turkestanica,0.4,M
Pleuraphis rigida,,C
Pleuraphis rigida,,C
Agave deserti,0.25,C
Ferocactus cylindraceus,0.25,C
Pleuraphis rigida,0.25,C
Echinocereus engelmannii,0.3,C
Opuntia acanthocarpa,0.3,C
Prunus avium,1.9,M
Gutierrezia sarothrae,0.45,C
Anthyllis henoniana,1.2,C
Avena fatua,1.17,M
Condalia microphylla,0.52,C
Prosopis caldenia,0.79,C
Populus tremula,2,F
Prosopis velutina,58,C
Pistacia vera,3.2,M
Cereus giganteus,0.9,
Ferocactus wislizeni,0.3,
Opuntia fulgida,0.3,
Bothriochloa pertusa,0.55,F
Cynodon dactylon,0.3,F
Dichanthium annulatum,1,F
Imperata cylindrica,0.58,F
Setaria glauca,0.25,F
Sporobulus diander,0.24,F
Andira humilis,18,M
Aristolochia giberti,1.8,M
Cochlospermum insigne,2.06,M
Craniolaria integrifolia,0.35,M
Echinolaena inflexa,1.5,M
Stryphnodendron barbatimao,2,M
Vernonia grandiflora,0.15,M
Jacaranda decurrens,11,M
Achnatherum hymenoides,1.5,M
Artemisia tridentata,2.25,M
Chrysothamnus viscidiflorus,1.9,M
Cordylanthus ramosus,1.6,M
Leymus cinereus,1.6,M
Quercus rubra,2.9,
Faidherbia albida,7.25,F
Gypothamnium pinifolium,0.1,
Heliotropium pycnophyllum,0.6,
Nolana mollis,0.5,
Burkea africana,2.2,C
Ochna pulchra,2.2,C
Terminalia sericea,2.2,C
Quercus turbinella,7.6,C
Quercus turbinella,9.1,C
Quercus turbinella,9.1,C
Pinus sylvestris,2.4,C
Baphia massaiensis ssp. obovata,2.61,C
Brachystegia boehmii,3.65,F
Brachystegia floribunda,3.35,F
Brachystegia longifolia,5.28,F
Brachystegia spiciformis,4.38,F
Brachystegia spiciformis,4.92,F
Brachystegia utilis,3.65,F
Dialium engleranum,3,C
Erythrophleum africanum,2.44,F
Faurea saligna,1.38,F
Hymenocardia acida,1.2,F
Isoberlinia angolensis,3.65,F
Julbernardia paniculata,5.2,F
Marquesia macroura,2.45,F
Monotes africanus,3,
Parinari curatellifolia,1.94,F
Pericopsis angolensis,3.65,F
Pseudolachnostylis maprouneifolia,3,C
Strychnos innocua,3,F
Strychnos pungens,3,C
Syzygium afromontanum,3,C
Syzygium macrocarpum,3,C
Uapaca kirkiana,1.5,F
Uapaca nitida,0.91,
Acer saccharum,2.7,C
Nassauvia glomerulosa,3,C
Festuca pallescens,2,C
Mulinum spinosum,3,C
Nothofagus pumilo,2,M
Antennaria parvifolia,0.48,C
Artemisia frigida,0.99,C
Bouteloua gracilis,1.02,C
Festuca arizonica,1.32,C
Muhlenbergia montana,1.35,C
Elytropappus rhinocerotis,6.16,F
Galenia africana,3.52,M
Galenia africana,5.01,M
Galenia africana,7.32,M
Euphorbia burmanni,0.51,M
Euphorbia burmanni,1.23,M
