Species,Dr,EU_soil_texture
Limonium otolepis,2.04,M
Pseudosophora alopecuroides,2.88,M
Artemisia scoparia,2.17,M
Alhagi pseudalhagi,2.88,M
Alhagi pseudalhagi,6.5,F
Artemisia nitrosa,0.85,F
Karelinia caspia,6.5,F
Kochia iranica,0.7,F
Krascheninnikovia ceratoides,6.5,F
Limonium myrianthum,3,F
Nitraria sibirica,4,F
Petrosimonia sibirica,0.62,F
Phragmites australis,2.9,F
Suaeda microphylla,1.85,F
Zygophyllum fabago,6.5,F
Agropyron fragile,1.22,C
Artemisia scoparia,1.26,C
Artemisia songarica,1.6,C
Artemisia terrae-albae,1.5,C
Carex physodes,0.43,C
Ceratocarpus arenarius,1.24,C
Chondrilla ambigua,2.75,C
Corispermum lehmannianum,0.88,C
Dendrostellera ammodendron,3.4,C
Echinops albicaulis,4.35,C
Eremurus anisopterus,0.7,C
Heliotropium dasycarpum,2.16,C
Limonium gmelinii,1.27,C
Poa bulbosa,0.31,C
Salsola australis,1.38,C
Stipagrostis pennata,1.2,C
Syrenia siliculosa,0.82,C
Tribulus terrestris,0.82,C
Achnatherum splendens,1.02,M
Anabasis truncata,1.85,M
Seriphidium sublessingianum,1.05,M
Artemisia terrae-albae,0.65,M
Nanophyton erinaceum,1.1,M
Onosma gmelinii,0.46,M
Oxytropis avis,0.75,M
Papaver tianschanicum,0.28,M
Salsola arbuscula,1.2,M
Salsola dschungarica,0.57,M
Salsola implicata,0.7,M
Krascheninnikovia ceratoides,3.69,M
Achnatherum splendens,6,M
Alyssum dasycarpum,0.55,C
Anabasis aphylla,3,C
Seriphidium sublessingianum,2,C
Kochia prostrata,3,C
Krascheninnikovia ceratoides,9.36,C
Peganum harmala,3.3,C
Poa bulbosa var. vivipara,0.4,C
Trigonella arcuata,0.55,C
Arthrophytum longibracteatum,1.9,M
Halocnemum strobilaceum,1,M
Salicornia europaea,0.73,M
Tamarix ramosissima,2,M
Acanthophyllum pungens,1.92,C
Artemisia songarica,0.87,C
Calligonum aphyllum,2.24,C
Calligonum aphyllum,2.79,C
Kochia prostrata,2.5,C
Krascheninnikovia ceratoides,3,C
Stipagrostis pennata,1.19,C
Haloxylon aphyllum,10.48,C
Ferula caspica,0.35,M
Geranium transversale,0.25,M
Ranunculus platyspermus,0.4,M
Salsola arbuscula,1,M
Artemisia turanica,0.75,M
Eremopyrum triticeum,0.2,M
Gagea reticulata,0.14,M
Poa bulbosa,0.25,M
Rheum tataricum,0.51,M
Rhinopetalum karelinii,0.78,M
Takhtajaniantha pusilla,0.53,M
Tulipa buhseana,0.23,M
Anabasis aphylla,2.82,M
Artemisia turanica,0.87,M
Asparagus breslerianus,0.41,M
Astragalus longipetalus,0.72,M
Ceratocephalus falcatus,0.11,M
Convolvulus fruticosus,2,M
Eremopyrum triticeum,0.19,M
Gagea reticulata,0.16,M
Kochia prostrata,2.3,M
Rheum tataricum,0.47,M
Rhinopetalum karelinii,0.25,M
Seseli eriocephalum,0.46,M
Takhtajaniantha pusilla,0.43,M
Tulipa buhseana,0.21,M
Artemisia austriaca,2.24,M
Dianthus turkestanicus,0.84,M
Festuca rupicola,0.76,M
Lappula consanguinea,0.79,M
Leymus racemosus,2.4,M
Plantago media,1.6,M
Stipa capillata,1.07,M
Artemisia arenaria,3.6,C
Calligonum aphyllum,2.32,C
Carex colchica,0.3,C
Carex physodes,0.21,C
Eremosparton aphyllum,1.1,C
Leymus racemosus,2.08,C
Stipagrostis pennata,2.5,C
Artemisia arenaria,2.57,C
Artemisia abrotanum,2.2,M
Artemisia dracunculus,2.4,M
Artemisia sieversiana,2.21,M
Dactylis glomerata,1.1,M
Elytrigia repens,1.08,M
Glycyrrhiza glabra,4.48,M
Kochia prostrata,3.5,M
Lactuca tatarica,2.4,M
Onopordum acanthium,3,M
Pseudosophora alopecuroides,3.57,M
Rosa pimpinellifolia,4.9,M
Urtica cannabina,1.8,M
Allium anisopodium,0.18,M
Amygdalus mongolica,2.67,C
Artemisia sphaerocephala,2.59,C
Asterothamnus centrali-asiaticus,1.33,C
Astragalus monophyllus,0.99,M
Caragana brachypoda,0.64,C
Caragana leucophloea,3.14,C
Cleistogenes songorica,0.26,C
Convolvulus tragacanthoides,3.07,C
Echinops gmelinii,0.28,M
Haloxylon ammodendron,2,C
Krascheninnikovia ceratoides,1.44,M
Lagochilus ilicifolius,0.32,M
Olgaea leucophylla,0.36,M
Panzerina lanata,0.65,M
Ptilagrostis pelliotii,0.26,M
Reaumuria songarica,1.23,C
Salsola laricifolia,0.54,M
Scorzonera capito,0.25,M
Sympegma regelii,3.42,C
Zygophyllum xanthoxylon,6.49,M
Astragalus monophyllus,0.86,M
Olgaea leucophylla,0.28,M
Olgaea leucophylla,0.35,M
Reaumuria songarica,1.56,C
Scorzonera capito,0.11,M
Scorzonera capito,0.24,M
Achnatherum splendens,0.96,C
Ajania fruticulosa,0.34,M
Allium polyrhizum,0.12,M
Amygdalus pedunculata,0.58,C
Anabasis brevifolia,0.55,C
Artemisia frigida,0.23,M
Euphorbia mongolica,1.65,M
Nitraria sibirica,3.4,M
Oxytropis aciphylla,0.82,M
Peganum nigellastrum,1.08,M
Rheum nanum,0.72,M
Salsola passerina,1.02,M
Stipa glareosa,0.17,C
Stipa krylovii,0.24,M
Nitraria sibirica,1.05,M
Rheum nanum,0.28,M
Rheum nanum,0.59,M
Rheum nanum,0.63,M
Salsola passerina,0.69,M
Alhagi pseudalhagi,2.8,M
Anabasis salsa,2,M
Artemisia terrae-albae,0.95,M
Haloxylon aphyllum,7.86,C
Haloxylon aphyllum,10.41,C
Karelinia caspia,3.2,M
Kochia prostrata,7.3,M
Haloxylon aphyllum,4.52,M
Antiaris toxicaria,3.5,M
Baccaurea ramiflora,3.7,M
Gironniera subaequalis,4.7,M
Symplocos cochinchinensis,2,M
Xanthophyllum flavescens,4.6,M
Larix laricina,1.2,C
Pinus banksiana,1.2,C
Leptadenia pyrotechnica,11.5,M
Pennisetum divisum,0.59,C
Stipagrostis scoparia,0.5,C
Trichilia tuberculata,0.8,F
Prioria copaifera,1.1,F
Hirtella triandra,1.2,F
Tetragastris panamensis,0.7,F
Faramea occidentalis,0.6,F
Piper cordulatum,0.7,F
Psychotria horizontalis,0.3,F
Hybanthus prunifolius,0.6,F
Argyrolobium uniflorum,0.6,C
Aristida pungens,1.89,C
Artemisia campestris,1.22,C
Atractylis serratuloides,1.12,C
Echiochilon fruticosum,1.11,C
Eremobium aegyptiacum,1.11,C
Gymnocarpos decander,1.53,C
Helianthemum lippii,0.94,C
Kickxia aegyptiaca,0.96,C
Nolletia chrysocomoides,0.24,C
Plantago albicans,0.85,C
Rhanterium suaveolens,1.7,C
Salsola vermiculata var. bevifolia,1.11,C
Populus tremuloides,1.5,M
Achnatherum speciosum,1.2,C
Chuquiraga avellanedae,1.7,C
Larrea divaricata,3,C
Lycium chilense,1.2,C
Nassella tenuis,0.5,C
Poa ligularis,1,C
Acacia senegal,6.59,C
Albizia lebbeck,6.5,C
Prosopis cineraria,6,C
Tecomella undulata,3.3,C
Acacia senegal,7,C
Albizia lebbeck,4,C
Prosopis cineraria,4.93,C
Tecomella undulata,3,C
Acer negundo,2.77,F
Acer negundo,3.92,M
Acer saccharum,0.91,M
Carya ovata,1.77,M
Gleditsia triacanthos,0.61,F
Gleditsia triacanthos,1.69,M
Juglans nigra,1.27,M
Juglans nigra,1.83,M
Platanus occidentalis,2.14,M
Populus deltoides ssp. monilifera,2.69,F
Quercus macrocarpa,4.52,M
Quercus rubra,1.55,M
Prosopis cineraria,3.7,F
Krascheninnikovia lanata,1.27,M
Pascopyrum smithii,0.18,M
Pseudoroegneria spicata ssp. inermis,1.32,M
Schizachyrium littorale,2.62,C
Artemisia tridentata ssp. tridentata,1.8,C
Artemisia rhodantha,1.2,M
Christolea crassifolia,1.2,C
Krascheninnikovia ceratoides,1.8,C
Stipa glareosa,0.8,C
Zygophyllum rosovii,1.2,C
Ammodendron conollyi,3,C
Calligonum caput-medusae,3.5,C
Carex physodes,1.2,C
Ephedra strobilacea,2.4,C
Haloxylon persicum,4,C
Salsola richteri,4,C
Artemisia pauciflora,0.3,F
Kochia prostrata,3,F
Leymus ramosus,1.05,F
Poa bulbosa,0.12,F
Galium ruthenicum,3.5,M
Medicago romanica,3.5,M
Nanophyton erinaceum,0.7,C
Salsola laricina,3,F
Spiraea hypericifolia,1,C
Krascheninnikovia ceratoides,4.9,C
Adansonia digitata,1.8,C
Acacia senegal,4,C
Acacia seyal,6,C
Balanites aegyptiaca,3,C
Bombax costatum,1,C
Combretum adenogonium,4.5,C
Commiphora africana,2,C
Pterocarpus lucens,0.5,C
Faidherbia albida,30,C
Parkia biglobosa,2,C
Prosopis juliflora,35,C
Vitellaria paradoxa,2,C
Acacia senegal,0.6,C
Acacia seyal,2,C
Balanites aegyptiaca,,C
Opuntia rastrera,0.25,F
Larrea tridentata,0.5,C
Cornus florida,,F
Prosopis cineraria,60,C
Gleditsia triacanthos var. inermis,3.35,M
Juglans microcarpa,1.71,M
Juniperus virginiana,7.47,M
Maclura pomifera,8.23,M
Morus alba,3.81,M
Prunus armeniaca,2.35,M
Robinia pseudoacacia,7.92,M
Ulmus pumila,8.08,M
Triodia pungens,3,
Opuntia fragilis,0.1,C
Ferocactus wislizenii,0.73,F
Gutierrezia sarothrae,0.75,F
Isocoma tenuisecta,0.86,F
Prosopis velutina,6.1,F
Anabasis salsa,0.61,F
Climacoptera lanata,0.57,F
Frankenia hirsuta,0.63,F
